Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
Insumos,Condor,08/06/2026,"-R$80,56",Loja,Caixa Dinheiro
Matéria prima,Jullye,08/06/2026,"-R$11,52",Despesas Marketing,Caixa Dinheiro
Matéria prima,Jullye,08/06/2026,"-R$14,58",Loja,Caixa Dinheiro
Vendas cartão,,09/06/2026,"R$201,98 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,09/06/2026,"R$51,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,09/06/2026,"R$357,96 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,09/06/2026,"R$48,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,10/06/2026,"R$472,25 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,10/06/2026,"R$6,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,10/06/2026,"R$436,52 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,10/06/2026,"R$37,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO HENRIQUE NOCERA,,10/06/2026,"-R$3.000,00",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO DRIELLY BENEDETTI SOUZA,,10/06/2026,"-R$2.000,00",Despesas Marketing,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,10/06/2026,"-R$115,50",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,10/06/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Transferência recebidaIfood.com Agencia De Restaurantes,,10/06/2026,"R$40,71 ",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,10/06/2026,"R$14,62 ",,Compras - Inter - 23631657-5
Vendas cartão,,11/06/2026,"R$156,91 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,11/06/2026,"R$42,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,11/06/2026,"R$25,80 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,11/06/2026,"R$83,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,11/06/2026,"-R$227,87",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,11/06/2026,"-R$303,41",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO STHEFANI ALVES DE FRANCA,,11/06/2026,"-R$1.225,82",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,11/06/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas Food service,Uva,11/06/2026,"R$104,16 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,12/06/2026,"R$197,15 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,12/06/2026,"R$252,62 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,12/06/2026,"R$105,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,12/06/2026,"-R$19,99",,Loja Ahu - Itaú - 98608-0
Compra no débitoCia Da Verdura Curitiba BraAlimentação,,12/06/2026,"-R$11,80",,Compras - Inter - 23631657-5
Compra no débitoAfourbrasil Curitiba BraCompras,,13/06/2026,"-R$14,99",,Compras - Inter - 23631657-5
Vendas cartão,,15/06/2026,"R$826,63 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,15/06/2026,"R$232,34 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,15/06/2026,"-R$5.556,52",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,15/06/2026,"R$0,06 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,15/06/2026,"R$1.910,03 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,15/06/2026,"R$188,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Eletrozina,15/06/2026,"-R$35,80",Manutenção,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,15/06/2026,"-R$7,94",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,15/06/2026,"-R$29,40",,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,15/06/2026,"R$5.556,52 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Luz,Copel,15/06/2026,"-R$2.144,29",Luz,Loja Ahu - Itaú - 98608-0
Luz,Copel,15/06/2026,"-R$1.102,01",Luz,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/06/2026,"-R$550,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/06/2026,"-R$533,75",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO HENRIQUE NOCERA,,15/06/2026,"-R$2.500,00",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,15/06/2026,"-R$14,98",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,15/06/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
Boleto de cobrança recebidoCoin Bistro E Bebidas LtdaVendas,,15/06/2026,"R$77,28 ",Vendas Food Service,Compras - Inter - 23631657-5
Compra no débitoCondor Cristo Rei Lj28 Curitiba BraAlimentação,,15/06/2026,"-R$15,99",,Compras - Inter - 23631657-5
Vendas cartão,,16/06/2026,"R$281,73 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,16/06/2026,"R$172,48 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,16/06/2026,"R$110,46 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,16/06/2026,"R$54,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,16/06/2026,"-R$248,01",,Loja Ahu - Itaú - 98608-0
Matéria prima,Frabrilac,16/06/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
Vendas cartão,,17/06/2026,"R$301,00 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,17/06/2026,"R$21,54 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,17/06/2026,"R$253,70 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,17/06/2026,"R$162,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Pix enviadoZul Digital,,17/06/2026,"-R$30,00",,Compras - Inter - 23631657-5
Transferência recebidaIfood.com Agencia De Restaurantes,,17/06/2026,"R$122,73 ",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,17/06/2026,"R$48,36 ",,Compras - Inter - 23631657-5
Vendas cartão,,18/06/2026,"R$322,07 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,18/06/2026,"R$61,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,18/06/2026,"R$316,40 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,18/06/2026,"R$68,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,18/06/2026,"-R$213,40",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,18/06/2026,"-R$80,98",,Loja Ahu - Itaú - 98608-0
Vendas Food service,Coin,18/06/2026,"R$51,68 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,19/06/2026,"R$421,48 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,19/06/2026,"R$105,70 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PAGAMENTOS PIX QR-CODE,,19/06/2026,"-R$688,41",,Loja Alto XV - Itaú - 98554-6
PAGAMENTOS PIX QR-CODE,,19/06/2026,"-R$839,21",,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,19/06/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,19/06/2026,"R$148,78 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,19/06/2026,"R$51,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,19/06/2026,"-R$10,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,19/06/2026,"-R$296,83",,Loja Ahu - Itaú - 98608-0
Vendas cartão,,22/06/2026,"R$1.374,43 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,22/06/2026,"R$207,40 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,22/06/2026,"R$3.348,48 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,22/06/2026,"R$169,50 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,22/06/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,22/06/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO SEGMAC SEGUR,,22/06/2026,"-R$160,00",,Loja Ahu - Itaú - 98608-0
Vendas cartão,,23/06/2026,"R$96,93 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,23/06/2026,"R$32,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,23/06/2026,"R$255,16 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,23/06/2026,"R$16,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,23/06/2026,"-R$73,98",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,23/06/2026,"-R$70,95",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,23/06/2026,"-R$118,89",,Loja Ahu - Itaú - 98608-0
Matéria prima,Moka,23/06/2026,"-R$612,00",Loja,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,23/06/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoPophouse Curitiba BraAlimentação,,23/06/2026,"-R$322,71",,Compras - Inter - 23631657-5
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,23/06/2026,"-R$201,35",,Compras - Inter - 23631657-5
Vendas cartão,,24/06/2026,"R$18,46 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,24/06/2026,"R$116,07 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,24/06/2026,"R$115,47 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,24/06/2026,"R$28,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ENRIQUE BENI,,24/06/2026,"-R$585,00",Loja,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,24/06/2026,"-R$100,00",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,24/06/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoRei Do Queijo Curitiba BraAlimentação,,24/06/2026,"-R$96,90",,Compras - Inter - 23631657-5
Compra no débitoArmazem Embalagens I Curitiba BraSem categoria,,24/06/2026,"-R$44,00",,Compras - Inter - 23631657-5
Compra no débitoFeito Chocolate Curitiba BraAlimentação,,24/06/2026,"-R$142,22",,Compras - Inter - 23631657-5
Pix enviadoCarrefour Comercio E Industria LtdaSem categoria,,24/06/2026,"-R$693,77",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,24/06/2026,"R$27,97 ",,Compras - Inter - 23631657-5
